term_id,question,correct_choice,wrong1,wrong2,wrong3,explanation
r2,"R²=0.92, écart-type=0.002. Le modèle est-il bon ?",Oui — 92% expliqué et très stable,"C'est moyen, 0.92 insuffisant",C'est instable,On ne peut savoir sans MAE,"R²≥0.9 = excellent, écart-type 0.002 = très stable. Excellent modèle !"
r2,"R²=0.45, écart-type=0.03. Que fais-tu ?",Modèle trop simple — changer d'algo ou ajouter des features,Parfait,Instable — vérifier les données,Supprimer des features,Le modèle comprend 45% du problème. Stable mais trop simple. Augmenter la complexité.
mae,MAE=$200 sur un modèle de prix de maisons (moyenne $250k). C'est bon ?,"Oui — $200 sur $250k = 0.08%, excellent",Non — $200 est trop élevé,On ne sait pas sans le R²,MAE non pertinente ici,Excellent ! $200 d'erreur sur $250 000 = 0.08%. Très précis.
mse,MSE très élevée à cause de quelques prédictions extrêmes. Que ça indique ?,Des erreurs extrêmes sur quelques cas — vérifier les outliers,Le modèle est globalement mauvais,Utiliser MAE à la place,"MSE toujours élevé, normal",MSE amplifie les grandes erreurs. Des cas extrêmes sont très mal prédits. Vérifier les outliers.
rmse,"MAE=100€, RMSE=450€ sur des prédictions de salaires. Que se passe-t-il ?",Quelques salaires sont catastrophiquement mal prédits — outliers !,Le modèle est globalement mauvais,"C'est normal, RMSE = 4x MAE",Utiliser R² à la place,RMSE >> MAE → quelques salaires très mal prédits. Erreurs extrêmes sur certains cas.
overfit,"Train R²=0.99, Test R²=0.61. Que se passe-t-il ?",Overfitting sévère — simplifier ou régulariser,Parfait sur train donc ok,Underfitting — trop simple,Données manquantes,Overfitting sévère. Le modèle mémorise les données d'entraînement. Simplifier ou régulariser.
linreg,Tu dois prédire le prix d'une maison. Quel modèle utiliser en premier ?,"Régression linéaire — simple, interprétable, baseline",XGBoost directement,SVM — meilleur pour la régression,Réseau de neurones — le plus précis,Régression linéaire d'abord. Si R² insuffisant → Random Forest puis XGBoost.
logreg,Tu dois prédire si un email est spam. Par quoi commencer ?,Régression logistique — baseline classique pour binaire,Régression linéaire — pour les valeurs continues,K-Means — pour les emails,PCA — réduit les dimensions,"Régression logistique. Simple, interprétable, souvent compétitive pour la classification binaire."
rf,"Données tabulaires, 50k lignes, features mixtes. Pas d'idée du meilleur modèle. Tu choisis ?","Random Forest — robuste, peu de tuning, bon par défaut",Réseau de neurones — toujours le plus précis,SVM — idéal pour grandes données,Régression linéaire — tabulaire = toujours linéaire,"Random Forest. Marche bien out-of-the-box, peu de tuning, robuste, donne les feature importances."
xgb,"Compétition Kaggle, données tabulaires. Tu veux maximiser le score. Ton choix ?",XGBoost — standard de facto pour les compétitions tabulaires,Régression logistique — toujours la baseline,KNN — simple et efficace,Réseau de neurones — meilleur pour tout,XGBoost (ou LightGBM). Champion des compétitions sur données tabulaires.
nn,Tu dois classifier 500 000 photos de chats et chiens. Ton modèle ?,"CNN — réseau convolutif, standard pour la vision",Random Forest — meilleur sur images,SVM — idéal pour images,Régression logistique — commencer simple,CNN (réseau convolutif). Images en grande quantité → deep learning est le choix naturel.
accuracy,"Détection de fraude : 99% des transactions sont légales. Ton modèle dit ""pas fraude"" tout le temps. Accuracy = ?","99% — mais le modèle est nul, il ne détecte aucune fraude !",0% — détecte rien donc 0,50% — entre les deux,Impossible à calculer,Accuracy = 99% mais le modèle est inutile. Regarder F1/Recall/AUC.
precision,Filtre anti-spam : mieux vaut rater des spams que supprimer de vrais emails. Optimiser quoi ?,Precision — éviter de classer de vrais emails comme spam,Recall — détecter tous les spams,Accuracy — précision globale,F1 — équilibre,"Precision. Quand le modèle dit ""spam"", c'est VRAIMENT un spam. FP coûtent cher ici."
recall,Détection de cancer : manquer un cancer est catastrophique. Optimiser quoi ?,"Recall — ne rater aucun cancer, même si fausses alarmes",Precision — minimiser les fausses alarmes,Accuracy — maximiser globalement,F1 — équilibre,Recall. Détecter TOUS les cancers même si ça génère des fausses alarmes vérifiées ensuite.
pvalue,p-value d'une feature = 0.003. Que conclure ?,Feature très significative — impact non dû au hasard (p<0.01),Feature à enlever — p trop petit = problème,Feature à surveiller — proche de 0.05,On ne peut rien conclure sans le coefficient,Feature statistiquement très significative. Proba que ce soit du hasard = 0.3%. On la garde.
odds,"OR=0.4 pour ""sport régulier"" dans un modèle de maladie cardiaque. Interprétation ?",Sport = facteur protecteur — réduit de 60% les chances de maladie,Sport = facteur de risque,OR=0.4 non significatif,Sport réduit de 40% (OR direct),OR<1 = facteur protecteur. OR=0.4 → réduit de 60% les chances. (1−0.4 = 0.6 = 60% de réduction)
pytorch,Tu veux implémenter un Transformer custom pour du NLP de recherche. Ton choix ?,PyTorch + HuggingFace — standard recherche NLP,Scikit-Learn — supporte les Transformers,Excel avec formules ML,Régression logistique sklearn,"PyTorch. Standard de la recherche, graphe dynamique, très flexible. HuggingFace en complément."
ch_regression,"Prédire un salaire annuel. Données tabulaires, 10k lignes. Chemin optimal ?",LinReg baseline → RF si besoin → XGBoost pour max performance,Deep learning directement,K-Means pour grouper les salaires,Régression logistique — bien pour le continu,1) Régression linéaire (baseline) 2) Si R²<0.7 → Random Forest 3) Si encore mieux voulu → XGBoost.
